Solvent	Base	ligands-SMILES	ligands-IUPAC	additives	Catalyst
MeOH	K2HPO4	C1(C2=CC=CC=C2)=NC(C3=N[C@H](C4=CC=CC=C4)CO3)=CC=C1	"(R)-4-phenyl-2-(6-phenylpyridin-2-yl)-4,5-dihydrooxazole"	NaI	
EtOH		CC(C)(C)[C@@H]1COC(C2=NC=CC3=C2C=CC=C3)=N1	"(R)-4-(tert-butyl)-2-(isoquinolin-1-yl)-4,5-dihydrooxazole"	CsCO3	
DMPU		CC(C=CC=C1C)=C1CN[C@@H]2CCCC[C@H]2NCC3=C(C)C=CC=C3C	"(1R,2R)-N1,N2-bis(2,6-dimethylbenzyl)cyclohexane-1,2-diamine"	NaBF4	
benzene		CC(C1=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C1)(C)C	"(1R,2R)-N1,N2-bis(3,5-di-tert-butylbenzyl)cyclohexane-1,2-diamine"	Me4NCl	
		CCC(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(CC)C=C3	"(1R,2R)-N1,N2-bis(4-ethylbenzyl)cyclohexane-1,2-diamine"	Me4NI	
		ClC1=CC=CC(Cl)=C1CN[C@@H]2CCCC[C@H]2NCC3=C(Cl)C=CC=C3Cl	"(1R,2R)-N1,N2-bis(2,6-dichlorobenzyl)cyclohexane-1,2-diamine"	Me4NCl	
		CCCCOC(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(OCCCC)C=C3	"(1R,2R)-N1,N2-bis(4-butoxybenzyl)cyclohexane-1,2-diamine"	Me4NBr	
		COC(C(C(F)(F)F)=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=C(OC)C=C3	"(1R,2R)-N1,N2-bis(4-methoxy-3-(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"		
		FC(C(C#N)=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(C#N)=C(F)C=C3	"5,5'-((((1R,2R)-cyclohexane-1,2-diyl)bis(azanediyl))bis(methylene))bis(2-fluorobenzonitrile)"		
		CC1=C(OC)C=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC=C(OC)C(C)=C3)=C1	"(1R,2R)-N1,N2-bis(4-methoxy-3-methylbenzyl)cyclohexane-1,2-diamine"		
		CC1=C(OC)C(C)=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C)=C(OC)C(C)=C3)=C1	"(1R,2R)-N1,N2-bis(4-methoxy-3,5-dimethylbenzyl)cyclohexane-1,2-diamine"		
		CC1=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C)=CC(C)=C3)=CC(C)=C1	"(1R,2R)-N1,N2-bis(3,5-dimethylbenzyl)cyclohexane-1,2-diamine"		
		CC(C1=CC(C(C)(C)C)=CC(CN[C@@H](C2=CC=CC=C2)[C@H](NCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=CC=CC=C4)=C1)(C)C	"(1R,2S)-N1,N2-bis(3,5-di-tert-butylbenzyl)-1,2-diphenylethane-1,2-diamine"		
		FC(C1=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=CC(C(F)(F)F)=C1)(F)F	"(1R,2R)-N1,N2-bis(3,5-bis(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"		
		C1(NCC2=CC=CC=C2)CCCCC1NCC3=CC=CC=C3	"N1,N2-dibenzylcyclohexane-1,2-diamine"		
		C1(C2NCCCC2)CCCCN1	"2,2'-bipiperidine"		
		CC([C@@H](CO1)N=C1C2=CC=C(CCCC3)C3=N2)(C)C	"(S)-4-(tert-butyl)-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole"		
		CC([C@@H](CO1)N=C1C2=CC=C(C3=CC=CC=C3)C=N2)(C)C	"(S)-4-(tert-butyl)-2-(5-phenylpyridin-2-yl)-4,5-dihydrooxazole"		
		[C@@H]1(CC2=CC=CC=C2)COC(C3=N[C@H](CC4=CC=CC=C4)CO3)=N1	"(4R,4'R)-4,4'-dibenzyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		C1(C2CCCCC2)COC(C3=NC(C4CCCCC4)CO3)=N1	"4,4'-dicyclohexyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		N#CC(C1=N[C@@H](C2=CC=CC=C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O1)C5=N[C@@H](C6=CC=CC=C6)C(C7=CC=CC=C7)(C8=CC=CC=C8)O5	"2,2-bis((S)-4,5,5-triphenyl-4,5-dihydrooxazol-2-yl)acetonitrile"		
		CC([C@@H]1COC(CC2=N[C@H](C(C)(C)C)CO2)=N1)(C)C	"bis((R)-4-(tert-butyl)-4,5-dihydrooxazol-2-yl)methane"		
		C1(C2=NC(CC3=CC=CC=C3)CO2)=NC(CC4=CC=CC=C4)CO1	"4,4'-dibenzyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		CC([C@@H](CO1)N=C1C2=N[C@@H](C(C)C)CO2)C	"(4S,4'S)-4,4'-diisopropyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=N[C@@H](C4=CC=CC=C4)CO1	"(4S,4'S)-4,4'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole"		
		C1(C2(CCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1	"(4R,4'R,5S,5'S)-2,2'-(cyclobutane-1,1-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)"		
		CC([C@H]1COC(C2(CC2)C3=N[C@@H](C(C)(C)C)CO3)=N1)(C)C	"(4S,4'S)-2,2'-(cyclopropane-1,1-diyl)bis(4-(tert-butyl)-4,5-dihydrooxazole)"		
		C1(C2(CCCCCC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1	"(4S,4'S)-2,2'-(cycloheptane-1,1-diyl)bis(4-phenyl-4,5-dihydrooxazole)"		
		CCC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC)C3=N[C@@H](C4=CC=CC=C4)CO3	"(4S,4'S)-2,2'-(pentane-3,3-diyl)bis(4-phenyl-4,5-dihydrooxazole)"		
		C1(C2(CCC2)C3=N[C@H](C4=CC=CC=C4)CO3)=N[C@H](C5=CC=CC=C5)CO1	"(4R,4'R)-2,2'-(cyclobutane-1,1-diyl)bis(4-phenyl-4,5-dihydrooxazole)"		
		C1(C2(CC2)C3=N[C@@H](C4=CC=CC=C4)[C@@H](C5=CC=CC=C5)O3)=N[C@@H](C6=CC=CC=C6)[C@@H](C7=CC=CC=C7)O1	"(4S,4'S,5R,5'R)-2,2'-(cyclopropane-1,1-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)"		
		CC(C1=N[C@@H](C(C=CC=C2)=C2C3)[C@@H]3O1)C4=N[C@@H]5[C@@H](CC6=C5C=CC=C6)O4	"(3aS,3a'S,8aR,8a'R)-2,2'-(ethane-1,1-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)"		
		CC1=CC([P](C2=CC(C)=CC(C)=C2)C3=C(C4=C(C=CC=C5)C5=CC=C4[P](C6=CC(C)=CC(C)=C6)C7=CC(C)=CC(C)=C7)C8=CC=CC=C8C=C3)=CC(C)=C1	"2,2'-bis(bis(3,5-dimethylphenyl)phosphanyl)-1,1'-binaphthalene"		
		COC1=[C@]([C@]2=C(OC)C=CC=C2[P](C3=CC(C(C)C)=C(N(C)C)C(C(C)C)=C3)C4=CC(C(C)C)=C(N(C)C)C(C(C)C)=C4)C([P](C5=CC(C(C)C)=C(N(C)C)C(C(C)C)=C5)C6=CC(C(C)C)=C(N(C)C)C(C(C)C)=C6)=CC=C1	"(R)-4,4',4'',4'''-((6,6'-dimethoxy-[1,1'-biphenyl]-2,2'-diyl)bis(phosphanetriyl))tetrakis(2,6-diisopropyl-N,N-dimethylaniline)"		
		COC1=[C@]([C@]2=C(OC)C=CC=C2[P](C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C([P](C5=CC(C(C)(C)C)=CC(C(C)(C)C)=C5)C6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6)=CC=C1	"(R)-(6,6'-dimethoxy-[1,1'-biphenyl]-2,2'-diyl)bis(bis(3,5-di-tert-butylphenyl)phosphane)"		
		COC1=[C@]([C@]2=C(OC)C=CC=C2[P](C3=CC(OC)=C(N(C)C)C(C(C)(C)C)=C3)C4=CC(OC)=C(N(C)C)C(C(C)(C)C)=C4)C([P](C5=CC(OC)=C(OC)C(OC)=C5)C6=CC(OC)=C(OC)C(OC)=C6)=CC=C1	"(R)-4,4'-((2'-(bis(3,4,5-trimethoxyphenyl)phosphanyl)-6,6'-dimethoxy-[1,1'-biphenyl]-2-yl)phosphanediyl)bis(2-(tert-butyl)-6-methoxy-N,N-dimethylaniline)"		
		COC1=[C@]([C@]2=C(OC)C=CC=C2[P](C3=CC(C(C)(C)C)=C(N(C)C)C(C(C)(C)C)=C3)C4=CC(C(C)(C)C)=C(N(C)C)C(C(C)(C)C)=C4)C([P](C5=CC(OC)=C(OC)C(C(C)(C)C)=C5)C6=CC(OC)=C(OC)C(C(C)(C)C)=C6)=CC=C1	"(R)-4,4'-((2'-(bis(3-(tert-butyl)-4,5-dimethoxyphenyl)phosphanyl)-6,6'-dimethoxy-[1,1'-biphenyl]-2-yl)phosphanediyl)bis(2,6-di-tert-butyl-N,N-dimethylaniline)"		
		COC1=[C@]([C@]2=C(OC)C=CC=C2[P](C3=CC(C)=CC(C)=C3)C4=CC(C)=CC(C)=C4)C([P](C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)=CC=C1	"(R)-(6,6'-dimethoxy-[1,1'-biphenyl]-2,2'-diyl)bis(bis(3,5-dimethylphenyl)phosphane)"		
		[][M][].C[C@@H](P(C1CCCCC1)C2CCCCC2)c3cccc3P(C4=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C4)C5=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C5.c6cccc6	unname3		
		C12=CC=C(P(C3=CC=CC=C3)C4=CC=CC=C4)[C@@]([C@@]5=C(OCO6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8)=C1OCO2	"(R)-5,5'-bis(diphenylphosphanyl)-4,4'-bibenzo[d][1,3]dioxole"		
		FC(C(F)=C1)=C(F)C=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(F)=C(F)C(F)=C3	"(1R,2R)-N1,N2-bis(3,4,5-trifluorobenzyl)cyclohexane-1,2-diamine"		
		CC(C=CC=C1C)=C1CN[C@@H]2CCCC[C@H]2NCC3=C(C)C=CC=C3C	"(1R,2R)-N1,N2-bis(2,6-dimethylbenzyl)cyclohexane-1,2-diamine"		
		CCC(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(CC)C=C3	"(1R,2R)-N1,N2-bis(4-ethylbenzyl)cyclohexane-1,2-diamine"		
		FC(C1=CC(C(F)(F)F)=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=C1)(F)F	"(1R,2R)-N1,N2-bis(3,5-bis(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"		
		FC(C1=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=C(OC)C=C3)=CC=C1OC)(F)F	"(1R,2R)-N1,N2-bis(4-methoxy-3-(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"		
		CC1=CC(C)=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(C)=CC(C)=C3)=C1	"(1R,2R)-N1,N2-bis(3,5-dimethylbenzyl)cyclohexane-1,2-diamine"		
		CC(C(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(C(C)C)C=C3)C	"(1R,2R)-N1,N2-bis(4-isopropylbenzyl)cyclohexane-1,2-diamine"		
		COC(C=C1)=C(C)C=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(OC)C(C)=C3	"(1R,2R)-N1,N2-bis(4-methoxy-3-methylbenzyl)cyclohexane-1,2-diamine"		
		COC(C(C)=C1)=C(C)C=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(C)=C(OC)C(C)=C3	"(1R,2R)-N1,N2-bis(4-methoxy-3,5-dimethylbenzyl)cyclohexane-1,2-diamine"		
		CN(C(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(N(C)C)C=C3)C	"(1R,2R)-N1,N2-bis(4-(dimethylamino)benzyl)cyclohexane-1,2-diamine"		
		CCCCOC(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(OCCCC)C=C3	"(1R,2R)-N1,N2-bis(4-butoxybenzyl)cyclohexane-1,2-diamine"		
		CCOC(C=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC=C(OCC)C=C3	"(1R,2R)-N1,N2-bis(4-ethoxybenzyl)cyclohexane-1,2-diamine"		
		COC1=CC(OC)=CC(CN[C@@H]2CCCC[C@H]2NCC3=CC(OC)=CC(OC)=C3)=C1	"(1R,2R)-N1,N2-bis(3,5-dimethoxybenzyl)cyclohexane-1,2-diamine"		
		FC(C(C(F)(F)F)=C1)=CC=C1CN[C@@H]2CCCC[C@H]2NCC3=CC(C(F)(F)F)=C(F)C=C3	"(1R,2R)-N1,N2-bis(4-fluoro-3-(trifluoromethyl)benzyl)cyclohexane-1,2-diamine"		
		CC(C=C(C)C=C1C)=C1CNC(C2=CC=CC=C2)C(NCC3=C(C)C=C(C)C=C3C)C4=CC=CC=C4	"1,2-diphenyl-N1,N2-bis(2,4,6-trimethylbenzyl)ethane-1,2-diamine"		
		[C@@H](NCC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](NCC3=CC=CC=C3)C4=CC=CC=C4	"(1R,2R)-N1,N2-dibenzyl-1,2-diphenylethane-1,2-diamine"		
		FC(C1=CC(C(F)(F)F)=CC(CN[C@H](C2=CC=CC=C2)[C@H](NCC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC=CC=C4)=C1)(F)F	"(1R,2R)-N1,N2-bis(3,5-bis(trifluoromethyl)benzyl)-1,2-diphenylethane-1,2-diamine"		
		C1(CNC(C2=CC=CC=C2)(C3=CC=CC=C3)C(NCC4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)=CC=CC=C1	"N1,N2-dibenzyl-1,1,2,2-tetraphenylethane-1,2-diamine"		
		CC(C1=CC(C(C)(C)C)=CC(CNC(C2=CC=CC=C2)C(NCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=CC=CC=C4)=C1)(C)C	"N1,N2-bis(3,5-di-tert-butylbenzyl)-1,2-diphenylethane-1,2-diamine"		
		[C@@H](NCC1=C(C=CC=C2)C2=CC=C1)(C3=CC=CC4=C3C=CC=C4)[C@H](NCC5=CC=CC6=C5C=CC=C6)C7=C(C=CC=C8)C8=CC=C7	"(1R,2R)-1,2-di(naphthalen-1-yl)-N1,N2-bis(naphthalen-1-ylmethyl)ethane-1,2-diamine"		
		COC1=CC=CC=C1[C@@H](NCC2=C(C=CC=C3)C3=CC=C2)[C@H](NCC4=CC=CC5=C4C=CC=C5)C6=C(OC)C=CC=C6	"(1R,2R)-1,2-bis(2-methoxyphenyl)-N1,N2-bis(naphthalen-1-ylmethyl)ethane-1,2-diamine"		
		COC1=CC(OC)=CC(CN[C@H](C2=CC=CC=C2)[C@H](NCC3=CC(OC)=CC(OC)=C3)C4=CC=CC=C4)=C1	"(1R,2R)-N1,N2-bis(3,5-dimethoxybenzyl)-1,2-diphenylethane-1,2-diamine"		
		CCC1=NC(C(N=CC=C2C3=CC=CC=C3)=C2C=C4)=C4C(C5=CC=CC=C5)=C1	"2-ethyl-4,7-diphenyl-1,10-phenanthroline"		
		CC1=NC(C(N=C(C)C=C2C3=CC=CC=C3)=C2C=C4)=C4C(C5=CC=CC=C5)=C1	"2,9-dimethyl-4,7-diphenyl-1,10-phenanthroline"		
		COC1=CC=NC2=C1C=CC3=C2N=CC=C3OC	"4,7-dimethoxy-1,10-phenanthroline"		
		CC(C=C1C2=CC=CC=C2)=NC3=C1C=CC4=C3N=CC=C4C5=CC=CC=C5	"2-methyl-4,7-diphenyl-1,10-phenanthroline"		
		CCCCC(C=C1)=NC2=C1C=CC3=C2N=C(CCCC)C=C3	"2,9-dibutyl-1,10-phenanthroline"		
		CC1=CC=NC2=C1C=CC3=C2N=CC=C3C	"4,7-dimethyl-1,10-phenanthroline"		
		CC(C=C1)=NC2=C1C=CC3=C2N=CC=C3	"2-methyl-1,10-phenanthroline"		
		CC(C=C1)=NC2=C1C=CC3=C2N=C(C)C=C3	"2,9-dimethyl-1,10-phenanthroline"		
		FC(C(C=C1)=NC2=C1C=CC3=C2N=CC=C3)(F)F	"2-(trifluoromethyl)-1,10-phenanthroline"		
		C1(C2=CC=CC=C2)=NC(C(N=C(C3=CC=CC=C3)C=C4)=C4C=C5)=C5C=C1	"2,9-diphenyl-1,10-phenanthroline"		
		OC1=CC=NC2=C1C=CC3=C2N=CC=C3O	"1,10-phenanthroline-4,7-diol"		
		C1(C(N=CC=C2)=C2C=C3)=C3C=CC=N1	"1,10-phenanthroline"		
		ClC1=NC(C(N=C(Cl)C=C2)=C2C=C3)=C3C=C1	"2,9-dichloro-1,10-phenanthroline"		
		CC1=C(C)C2=C(N=CC=C2)C3=C1C=CC=N3	"5,6-dimethyl-1,10-phenanthroline"		
		O=C(C1=C(C2=C3C=CC=N2)N=CC=C1)C3=O	"1,10-phenanthroline-5,6-dione"		
		ClC1=NC(C(N=CC=C2)=C2C=C3)=C3C=C1	"2-chloro-1,10-phenanthroline"		
		ClC1=CC=NC2=C1C=CC3=C2N=CC=C3Cl	"4,7-dichloro-1,10-phenanthroline"		
		CCCCCCC1=NC(C(N=CC=C2)=C2C=C3)=C3C=C1	"2-hexyl-1,10-phenanthroline"		
		CCCCC1=NC(C(N=CC=C2)=C2C=C3)=C3C=C1	"2-butyl-1,10-phenanthroline"		
		CC1=CC(CCCC)=NC2=C1C=CC3=C2N=C(CCCC)C=C3C	"2,9-dibutyl-4,7-dimethyl-1,10-phenanthroline"		
		CC(/C(C)=N\C1=CC(C=CC=C2)=C2C=C1)=N/C3=CC=C(C=CC=C4)C4=C3	"(2Z,3Z)-N2,N3-di(naphthalen-2-yl)butane-2,3-diimine"		
		CC(C=C(C)C=C1C)=C1/N=C(CCCC2)\C2=N/C3=C(C)C=C(C)C=C3C	"(1Z,2Z)-N1,N2-dimesitylcyclohexane-1,2-diimine"		
		CC(/C=C(C)\NC1=C(C(C)C)C=CC=C1C(C)C)=N/C2=C(C(C)C)C=CC=C2C(C)C	"N-((2Z,4Z)-4-((2,6-diisopropylphenyl)imino)pent-2-en-2-yl)-2,6-diisopropylaniline"		
		CC(/C(C)=N\C1=CC(C=CC=C2)=C2C=C1)=N/C3=CC=C(C=CC=C4)C4=C3	"(2Z,3Z)-N2,N3-di(naphthalen-2-yl)butane-2,3-diimine"		
		CC(/C(C)=N\C1=CC(C)=CC(C)=C1)=N/C2=CC(C)=CC(C)=C2	"(2Z,3Z)-N2,N3-bis(3,5-dimethylphenyl)butane-2,3-diimine"		
		CC(C)(C)C(C=CC=C1)=C1/N=C\C=N/C2=CC=CC=C2C(C)(C)C	"(1Z,2Z)-N1,N2-bis(2-(tert-butyl)phenyl)ethane-1,2-diimine"		
		CC(/C(C)=N\C1=CC=CC=C1)=N/C2=CC=CC=C2	"(2Z,3Z)-N2,N3-diphenylbutane-2,3-diimine"		
		CCC(/C(CC)=N\C1=C(C(C)C)C=CC=C1C(C)C)=N/C2C(C(C)C)=CC=CC2C(C)C	"(3Z,4Z)-N3-(2,6-diisopropylcyclohexa-2,4-dien-1-yl)-N4-(2,6-diisopropylphenyl)hexane-3,4-diimine"		
		CC(/C(C)=N\C1=CC=CC=C1C2=CC=CC=C2)=N/C3=C(C4=CC=CC=C4)C=CC=C3	"(2Z,3Z)-N2,N3-di([1,1'-biphenyl]-2-yl)butane-2,3-diimine"		
		CC(C)C1C=CC=C(C(C)C)C1N=C(CCCC/2)C2=N/C3=C(C(C)C)C=CC=C3C(C)C	"(1E,2Z)-N1-(2,6-diisopropylcyclohexa-2,4-dien-1-yl)-N2-(2,6-diisopropylphenyl)cyclohexane-1,2-diimine"		
		CC(C)C1C=CC=C(C(C)C)C1/N=C\C=N/C2=C(C(C)C)C=CC=C2C(C)C	"(1Z,2Z)-N1-(2,6-diisopropylcyclohexa-2,4-dien-1-yl)-N2-(2,6-diisopropylphenyl)ethane-1,2-diimine"		
		CC(/C(C)=N\C1=C(C)C=C(C)C=C1C)=N/C2=C(C)C=C(C)C=C2C	"(2Z,3Z)-N2,N3-dimesitylbutane-2,3-diimine"		
		CC(/C(C)=N\C1=CC=CC=C1C(C)(C)C)=N/C2=C(C(C)(C)C)C=CC=C2	"(2Z,3Z)-N2,N3-bis(2-(tert-butyl)phenyl)butane-2,3-diimine"		
		C/C(C(C)=NC#CC#CC#C(F)(F)(F)(F)F)=N/C#CC#CC#C(F)(F)(F)(F)F	"(2Z,3E)-N2,N3-bis(6,6,6,6,6-pentafluoro-6l11-hexa-1,3,5-triyn-1-yl)butane-2,3-diimine"		
		CC(/C(C)=N\C1=CC=CC2=C1C=CC=C2)=N/C3=C4C(C=CC=C4)=CC=C3	"(2Z,3Z)-N2,N3-di(naphthalen-1-yl)butane-2,3-diimine"		
		CC(/C=C(C)\NC1=CC=CC=C1)=NC2=CC=CC=C2	"N-((2Z,4E)-4-(phenylimino)pent-2-en-2-yl)aniline"		
		CC(/C(C)=N\C1=CC=C(F)C=C1C(F)(F)F)=N/C2=C(C(F)(F)F)C=C(F)C=C2	"(2Z,3Z)-N2,N3-bis(4-fluoro-2-(trifluoromethyl)phenyl)butane-2,3-diimine"		
		CC(C(C=CC=C1C(C)C)=C1/N=C2\C(C3=C4C(C=CC=C42)=CC=C3)=N/C5=C(C(C)C)C=CC=C5C(C)C)C	"(1Z,2Z)-N1,N2-bis(2,6-diisopropylphenyl)acenaphthylene-1,2-diimine"		
		CC(/C(C)=N\C1=C(OC)C=CC=C1OC)=N/C2=C(OC)C=CC=C2OC	"(2Z,3Z)-N2,N3-bis(2,6-dimethoxyphenyl)butane-2,3-diimine"		
		CC(C(C=CC=C1C(C)C)=C1/N=C2\C(C3=C4C(C=CC=C42)=CC=C3)=N/C5=C(C(C)C)C=CC=C5C(C)C)C	"(1Z,2Z)-N1,N2-bis(2,6-diisopropylphenyl)acenaphthylene-1,2-diimine"		
